,Team,Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Season,Type
32,Philadelphia Eagles,L.J. Smith,0,0,0.00,0,0,0,6,1,7,0.0,2004,Defense
33,Philadelphia Eagles,Thomas Tapeh,0,0,0.00,0,0,0,4,0,4,0.0,2004,Defense
34,Philadelphia Eagles,Hollis Thomas,0,0,0.00,0,0,0,17,4,21,0.0,2004,Defense
35,Philadelphia Eagles,Jeremiah Trotter,0,0,0.00,0,0,0,59,10,69,1.0,2004,Defense
36,Philadelphia Eagles,Darwin Walker,0,0,0.00,0,0,0,22,7,29,4.5,2004,Defense
37,Philadelphia Eagles,Matt Ware,0,0,0.00,0,0,0,12,1,13,0.0,2004,Defense
38,Philadelphia Eagles,Nate Wayne,0,0,0.00,0,0,0,23,7,30,1.0,2004,Defense
39,Philadelphia Eagles,Brian Westbrook,0,0,0.00,0,0,0,1,0,1,0.0,2004,Defense
40,Philadelphia Eagles,Dexter Wynn,0,0,0.00,0,0,0,15,3,18,1.0,2004,Defense
0,Philadelphia Eagles,Keith Adams,0,0,0.00,0,0,0,59,10,69,0.0,2005,Defense
1,Philadelphia Eagles,Mike Bartrum,0,0,0.00,0,0,0,3,0,3,0.0,2005,Defense
2,Philadelphia Eagles,Jack Brewer,0,0,0.00,0,0,0,2,1,3,0.0,2005,Defense
3,Philadelphia Eagles,Reggie Brown,0,0,0.00,0,0,0,2,0,2,0.0,2005,Defense
4,Philadelphia Eagles,Sheldon Brown,4,67,16.75,40t,40t,1,48,9,57,1.0,2005,Defense
5,Philadelphia Eagles,Trent Cole,0,0,0.00,0,0,0,38,8,46,5.0,2005,Defense
6,Philadelphia Eagles,Sean Considine,0,0,0.00,0,0,0,2,2,4,0.0,2005,Defense
7,Philadelphia Eagles,Brian Dawkins,3,24,8.00,24,24,0,69,11,80,3.5,2005,Defense
8,Philadelphia Eagles,Koy Detmer,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
9,Philadelphia Eagles,Justin Ena,0,0,0.00,0,0,0,8,1,9,0.0,2005,Defense
