,Team,Player,Num,Yds,Avg,FC,Lg,TD,Season,Type
9,New England Patriots,Larry Izzo,1,0,0.00,0,0,0,2005,Kickoff Returns
10,New England Patriots,Michael Stone,1,0,0.00,0,0,0,2005,Kickoff Returns
0,New England Patriots,Laurence Maroney,28,783,27.96,0,77,0,2006,Kickoff Returns
1,New England Patriots,Kevin Faulk,17,364,21.41,0,31,0,2006,Kickoff Returns
2,New England Patriots,Ellis Hobbs,10,360,36.00,0,93t,1,2006,Kickoff Returns
3,New England Patriots,Tully Banta-Cain,2,25,12.50,0,16,0,2006,Kickoff Returns
4,New England Patriots,Chad Jackson,1,21,21.00,0,21,0,2006,Kickoff Returns
0,New England Patriots,Ellis Hobbs,35,911,26.03,0,108t,1,2007,Kickoff Returns
1,New England Patriots,Wes Welker,7,176,25.14,0,33,0,2007,Kickoff Returns
2,New England Patriots,Willie Andrews,4,149,37.25,0,77t,1,2007,Kickoff Returns
3,New England Patriots,Chad Jackson,5,85,17.00,0,39,0,2007,Kickoff Returns
4,New England Patriots,Kevin Faulk,2,47,23.50,0,27,0,2007,Kickoff Returns
5,New England Patriots,Heath Evans,1,13,13.00,0,13,0,2007,Kickoff Returns
6,New England Patriots,Mike Vrabel,1,3,3.00,0,3,0,2007,Kickoff Returns
7,New England Patriots,Pierre Woods,0,0,0.00,1,0,0,2007,Kickoff Returns
8,New England Patriots,David Thomas,0,0,0.00,1,0,0,2007,Kickoff Returns
0,New England Patriots,Ellis Hobbs,45,"1,281",28.47,0,95t,1,2008,Kickoff Returns
1,New England Patriots,Matt Slater,11,155,14.09,0,31,0,2008,Kickoff Returns
2,New England Patriots,Sammy Morris,2,37,18.50,0,24,0,2008,Kickoff Returns
3,New England Patriots,Kevin Faulk,2,36,18.00,0,25,0,2008,Kickoff Returns
4,New England Patriots,Stephen Neal,1,27,27.00,0,27,0,2008,Kickoff Returns
5,New England Patriots,Wes Welker,1,26,26.00,0,26,0,2008,Kickoff Returns
0,New England Patriots,Laurence Maroney,13,279,21.46,0,52,0,2009,Kickoff Returns
1,New England Patriots,Matt Slater,11,269,24.45,0,35,0,2009,Kickoff Returns
2,New England Patriots,Julian Edelman,11,241,21.91,0,32,0,2009,Kickoff Returns
3,New England Patriots,Kevin Faulk,6,144,24.00,0,32,0,2009,Kickoff Returns
4,New England Patriots,Brandon Tate,4,106,26.50,0,34,0,2009,Kickoff Returns
5,New England Patriots,Darius Butler,5,104,20.80,0,26,0,2009,Kickoff Returns
6,New England Patriots,Wes Welker,2,45,22.50,0,27,0,2009,Kickoff Returns
7,New England Patriots,Isaiah Stanback,1,22,22.00,0,22,0,2009,Kickoff Returns
8,New England Patriots,Daniel Connolly,1,16,16.00,0,16,0,2009,Kickoff Returns
0,New England Patriots,Brandon Tate,41,"1,057",25.78,0,103t,2,2010,Kickoff Returns
1,New England Patriots,Daniel Connolly,3,90,30.00,0,71,0,2010,Kickoff Returns
2,New England Patriots,Sammy Morris,5,66,13.20,0,23,0,2010,Kickoff Returns
3,New England Patriots,Alge Crumpler,5,18,3.60,1,7,0,2010,Kickoff Returns
4,New England Patriots,BenJarvus Green-Ellis,1,0,0.00,0,0,0,2010,Kickoff Returns
5,New England Patriots,Dane Fletcher,1,0,0.00,0,0,0,2010,Kickoff Returns
0,New England Patriots,Danny Woodhead,20,437,21.85,0,37,0,2011,Kickoff Returns
1,New England Patriots,Julian Edelman,12,284,23.67,0,37,0,2011,Kickoff Returns
2,New England Patriots,Stevan Ridley,7,152,21.71,0,32,0,2011,Kickoff Returns
3,New England Patriots,Matt Slater,4,68,17.00,0,22,0,2011,Kickoff Returns
4,New England Patriots,Devin McCourty,1,24,24.00,0,24,0,2011,Kickoff Returns
5,New England Patriots,Rob Gronkowski,1,11,11.00,0,11,0,2011,Kickoff Returns
6,New England Patriots,Rob Ninkovich,1,10,10.00,0,10,0,2011,Kickoff Returns
0,New England Patriots,Devin McCourty,27,654,24.22,0,104t,1,2012,Kickoff Returns
1,New England Patriots,Danny Woodhead,2,43,21.50,0,23,0,2012,Kickoff Returns
2,New England Patriots,Matt Slater,2,39,19.50,0,20,0,2012,Kickoff Returns
3,New England Patriots,Julian Edelman,3,38,12.67,0,32,0,2012,Kickoff Returns
4,New England Patriots,Wes Welker,3,33,11.00,0,17,0,2012,Kickoff Returns
5,New England Patriots,Rob Gronkowski,1,0,0.00,0,0,0,2012,Kickoff Returns
0,New England Patriots,LeGarrette Blount,17,494,29.06,0,83,0,2013,Kickoff Returns
1,New England Patriots,Josh Boyce,9,214,23.78,0,41,0,2013,Kickoff Returns
2,New England Patriots,Devin McCourty,7,132,18.86,0,27,0,2013,Kickoff Returns
3,New England Patriots,Shane Vereen,3,66,22.00,0,24,0,2013,Kickoff Returns
4,New England Patriots,Leon Washington,1,19,19.00,0,19,0,2013,Kickoff Returns
5,New England Patriots,Matt Slater,2,10,5.00,0,10,0,2013,Kickoff Returns
0,New England Patriots,Danny Amendola,20,482,24.10,0,81,0,2014,Kickoff Returns
1,New England Patriots,Patrick Chung,7,140,20.00,0,30,0,2014,Kickoff Returns
2,New England Patriots,Matt Slater,2,44,22.00,0,26,0,2014,Kickoff Returns
3,New England Patriots,Devin McCourty,1,27,27.00,0,27,0,2014,Kickoff Returns
4,New England Patriots,Brandon LaFell,1,0,0.00,0,0,0,2014,Kickoff Returns
0,New England Patriots,Keshawn Martin,10,257,25.70,0,75,0,2015,Kickoff Returns
1,New England Patriots,Danny Amendola,8,172,21.50,0,29,0,2015,Kickoff Returns
2,New England Patriots,Michael Williams,3,18,6.00,0,10,0,2015,Kickoff Returns
3,New England Patriots,Patrick Chung,1,17,17.00,0,17,0,2015,Kickoff Returns
4,New England Patriots,Rob Gronkowski,1,5,5.00,0,5,0,2015,Kickoff Returns
5,New England Patriots,Devin McCourty,2,0,0.00,0,0,0,2015,Kickoff Returns
0,New England Patriots,Cyrus Jones,8,180,22.50,0,43,0,2016,Kickoff Returns
1,New England Patriots,Danny Amendola,5,129,25.80,0,73,0,2016,Kickoff Returns
2,New England Patriots,Matt Slater,3,52,17.33,0,19,0,2016,Kickoff Returns
3,New England Patriots,Julian Edelman,3,44,14.67,0,19,0,2016,Kickoff Returns
4,New England Patriots,Dion Lewis,2,35,17.50,0,23,0,2016,Kickoff Returns
5,New England Patriots,James Develin,3,35,11.67,0,15,0,2016,Kickoff Returns
6,New England Patriots,D.J. Foster,1,30,30.00,0,30,0,2016,Kickoff Returns
7,New England Patriots,James White,2,28,14.00,0,18,0,2016,Kickoff Returns
8,New England Patriots,Devin McCourty,2,9,4.50,0,9,0,2016,Kickoff Returns
